SchoolYear,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,ReportCategory,ReportSubGroup,AttendanceRate
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Homeless,Not Homeless,75.1
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Gender,Male,74.29
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Students with Disabilities,Students with Disabilities,72.69
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Ethnicity,"Black, not of Hispanic origin",74.84
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Grade,5,74.4
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Ethnicity,American Indian or Alaska Native,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Ethnicity,Two or More Races,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Grade,1,73.92
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Grade,2,75.27
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Grade,All,74.81
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Economically Disadvantaged,Economically Disadvantaged,74.6
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Homeless,Homeless,67.52
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Grade,4,76.75
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Migrant Status,Not Migrant,74.81
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Grade,3,73.21
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Ethnicity,"White, not of Hispanic origin",71.11
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Grade,7,81.49
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Grade,8,85.83
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Ethnicity,Asian,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Economically Disadvantaged,Not Economically Disadvantaged,87.18
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Students with Disabilities,Students without IEP,84.16
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",English Learners,Not English Learners,83.8
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",English Learners,English Learners,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Gender,Female,84.04
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Grade,0,85.2
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Grade,6,83.89
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Homeless,Not Homeless,83.81
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Gender,Male,83.58
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Students with Disabilities,Students with Disabilities,82.22
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Ethnicity,"Black, not of Hispanic origin",83.87
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Grade,1,84.65
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Grade,5,85.19
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Economically Disadvantaged,Economically Disadvantaged,83.66
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Grade,2,81.87
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Grade,All,83.82
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Ethnicity,Two or More Races,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Migrant Status,Not Migrant,83.82
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Homeless,Homeless,84.3
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Grade,4,83.18
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Grade,3,83.27
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,5,"Holmes, A.L.  Elementary-Middle School",Ethnicity,"White, not of Hispanic origin",*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,Economically Disadvantaged,Not Economically Disadvantaged,72.25
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,Students with Disabilities,Students without IEP,69.76
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,Ethnicity,Hispanic,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,Grade,9,65.99
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,English Learners,Not English Learners,69.44
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,English Learners,English Learners,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,Gender,Female,69.03
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,Homeless,Not Homeless,69.46
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,Gender,Male,69.65
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,Ethnicity,"Black, not of Hispanic origin",69.37
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,Grade,10,68.36
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,Students with Disabilities,Students with Disabilities,68.56
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,Grade,12,71.02
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,Grade,11,72.81
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,Economically Disadvantaged,Economically Disadvantaged,69.17
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,Grade,All,69.38
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,Homeless,Homeless,64.07
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,Migrant Status,Not Migrant,69.38
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,Ethnicity,"White, not of Hispanic origin",*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,Economically Disadvantaged,Not Economically Disadvantaged,80.44
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,Grade,9,77.36
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,English Learners,Not English Learners,77.34
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,Students with Disabilities,Students without IEP,78.55
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,Ethnicity,Hispanic,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,English Learners,English Learners,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,Gender,Female,77.67
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,Homeless,Not Homeless,77.57
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,Gender,Male,77.38
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,Students with Disabilities,Students with Disabilities,76.56
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,Grade,10,79.63
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,Ethnicity,"Black, not of Hispanic origin",77.4
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,Grade,All,77.47
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,Grade,12,74.37
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,Grade,11,77
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,Economically Disadvantaged,Economically Disadvantaged,77.12
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,Migrant Status,Not Migrant,77.47
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,Homeless,Homeless,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,Ethnicity,"White, not of Hispanic origin",*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,Economically Disadvantaged,Not Economically Disadvantaged,70.47
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,Students with Disabilities,Students without IEP,69.52
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,Ethnicity,Hispanic,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,Grade,9,68.41
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,English Learners,Not English Learners,69.36
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,English Learners,English Learners,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,Gender,Female,65.36
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,Homeless,Not Homeless,69.45
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,Gender,Male,72.01
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,Students with Disabilities,Students with Disabilities,68.77
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,Ethnicity,"Black, not of Hispanic origin",69.42
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,Grade,10,69.36
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,Grade,All,69.32
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,Grade,12,64.56
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,Economically Disadvantaged,Economically Disadvantaged,69.24
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,Homeless,Homeless,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,Grade,11,77.07
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,Migrant Status,Not Migrant,69.32
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,Ethnicity,"White, not of Hispanic origin",*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,Economically Disadvantaged,Not Economically Disadvantaged,84.33
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,Grade,9,77.07
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,Students with Disabilities,Students without IEP,80.43
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,English Learners,Not English Learners,80.19
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,Gender,Female,81.76
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,Homeless,Not Homeless,80.3
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,Gender,Male,79.18
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,Grade,10,81.42
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,Students with Disabilities,Students with Disabilities,78.48
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,Ethnicity,"Black, not of Hispanic origin",80.19
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,Grade,11,81.37
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,Economically Disadvantaged,Economically Disadvantaged,79.45
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,Grade,All,80.19
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,Grade,12,80.78
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,Migrant Status,Not Migrant,80.19
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,Homeless,Homeless,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Ethnicity,Asian,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Economically Disadvantaged,Not Economically Disadvantaged,69.81
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Grade,9,70.86
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,English Learners,Not English Learners,64.34
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Students with Disabilities,Students without IEP,64.32
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Ethnicity,Hispanic,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,English Learners,English Learners,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Gender,Female,66.86
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Ethnicity,Native Hawaiian or Other Pacific Islander,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Homeless,Not Homeless,64.49
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Gender,Male,62.6
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Students with Disabilities,Students with Disabilities,64.76
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Grade,10,63.52
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Ethnicity,"Black, not of Hispanic origin",64.35
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Ethnicity,American Indian or Alaska Native,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Grade,All,64.45
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Economically Disadvantaged,Economically Disadvantaged,63.96
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Grade,11,62.66
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Grade,12,61.78
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Migrant Status,Not Migrant,64.45
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Homeless,Homeless,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,Ethnicity,"White, not of Hispanic origin",*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Grade,7,82.78
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Grade,8,86.27
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Ethnicity,Asian,88.96
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Economically Disadvantaged,Not Economically Disadvantaged,87.56
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,English Learners,Not English Learners,81.88
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Students with Disabilities,Students without IEP,83.31
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Ethnicity,Hispanic,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,English Learners,English Learners,87.35
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Gender,Female,83.18
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Grade,9,82.45
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Ethnicity,Native Hawaiian or Other Pacific Islander,86.16
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Grade,0,76.77
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Homeless,Not Homeless,83.3
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Grade,6,84.03
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Students with Disabilities,Students with Disabilities,82.24
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Grade,10,83.82
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Grade,1,79.7
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Ethnicity,"Black, not of Hispanic origin",81.64
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Grade,5,79.3
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Grade,All,83.18
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Economically Disadvantaged,Economically Disadvantaged,82.61
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Grade,11,86.85
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Grade,12,81.89
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Migrant Status,Not Migrant,83.18
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Grade,2,88.48
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Homeless,Homeless,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Grade,4,77.05
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Grade,3,83.21
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,Ethnicity,"White, not of Hispanic origin",88.65
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,103,Ann Arbor Trail Magnet School,Grade,8,83.64
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,103,Ann Arbor Trail Magnet School,Grade,7,85.9
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,103,Ann Arbor Trail Magnet School,Economically Disadvantaged,Not Economically Disadvantaged,86.34
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,103,Ann Arbor Trail Magnet School,Students with Disabilities,Students without IEP,85.26
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,103,Ann Arbor Trail Magnet School,Ethnicity,Hispanic,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,103,Ann Arbor Trail Magnet School,English Learners,Not English Learners,84.92
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,103,Ann Arbor Trail Magnet School,English Learners,English Learners,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,103,Ann Arbor Trail Magnet School,Gender,Female,84.7
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,103,Ann Arbor Trail Magnet School,Grade,0,84.89
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,103,Ann Arbor Trail Magnet School,Grade,6,86.13
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,103,Ann Arbor Trail Magnet School,Homeless,Not Homeless,85.1
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,103,Ann Arbor Trail Magnet School,Gender,Male,85.22
