SchoolYear,ISD_Code,ISD_OfficialName,DistrictCode,DistrictOfficialName,BuildingCode,BuildingOfficialName,CharterName,EntityType,IHE_Type,Subgroup,Gender,Total_Graduates_All_Students,Total_Enrolled_in_an_IHE_within_0_6_months,Total_%_Enrolled_in_an_IHE_within_0_6_months,Total_Enrolled_in_an_IHE_within_0_12_months,Total_%_Enrolled_in_an_IHE_within_0_12_months,Total_Enrolled_in_an_IHE_within_0_16_months,Total_%_Enrolled_in_an_IHE_within_0_16_months,Total_Enrolled_in_an_IHE_within_0_24_months,Total_%_Enrolled_in_an_IHE_within_0_24_months,Total_Enrolled_in_an_IHE_within_0_36_months,Total_%_Enrolled_in_an_IHE_within_0_36_months,Total_Enrolled_in_an_IHE_within_0_48_months,Total_%_Enrolled_in_an_IHE_within_0_48_months,Total_Accumulating_24_Credits_within_0_12_months,Total_%_Accumulating_24_Credits_within_0_12_months,Total_Accumulating_24_Credits_within_0_16_months,Total_%_Accumulating_24_Credits_within_0_16_months,Total_Accumulating_24_Credits_within_0_24_months,Total_%_Accumulating_24_Credits_within_0_24_months,Total_Accumulating_24_Credits_within_0_36_months,Total_%_Accumulating_24_Credits_within_0_36_months,Total_Accumulating_24_Credits_within_0_48_months,Total_%_Accumulating_24_Credits_within_0_48_months
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,Hispanic/Latino,All Students,293,125,42.6621,140,47.7816,,,,,,,,,51,17.4061,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,All Students,All Students,2627,427,16.2543,507,19.2996,,,,,,,,,58,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,English Learners,All Students,218,44,20.1835,54,24.7706,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,White,Male,21,12,57.1429,13,61.9048,,,,,,,,,<10,23.8095,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,Asian,All Students,60,45,75,46,76.6667,,,,,,,,,32,53.3333,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,Asian,All Students,60,<10,6.6667,<10,6.6667,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,All Students,Male,1128,171,15.1596,211,18.7057,,,,,,,,,24,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,Hispanic/Latino,Male,140,25,17.8571,31,22.1429,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,Students With Disabilities,All Students,261,49,18.774,63,24.1379,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,Economically Disadvantaged,All Students,1570,775,49.3631,840,53.5032,,,,,,,,,378,24.0764,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,Two or More Races,Female,<10,<10,>95%,<10,>95%,,,,,,,,,<10,>95%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,American Indian or Alaska Native,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,Hispanic/Latino,Female,153,67,43.7909,74,48.366,,,,,,,,,26,16.9935,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,Students With Disabilities,All Students,261,71,27.2031,85,32.5671,,,,,,,,,12,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,African American,All Students,2236,861,38.5063,884,39.5349,,,,,,,,,575,25.7156,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,Hispanic/Latino,Female,153,30,19.6078,36,23.5294,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,White,All Students,36,<10,22.2222,10,27.7778,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,All Students,All Students,2627,1420,54.0541,1527,58.1271,,,,,,,,,739,28.131,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,All Students,Male,1128,527,46.7199,577,51.1525,,,,,,,,,255,22.6064,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,Asian,Male,21,17,80.9524,17,80.9524,,,,,,,,,12,57.1429,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,African American,All Students,2236,1220,54.5617,1309,58.542,,,,,,,,,639,28.5778,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,White,Female,15,12,80,13,86.6667,,,,,,,,,<10,40,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,Homeless,All Students,<10,<10,22.2222,<10,33.3333,,,,,,,,,<10,11.1111,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,Students With Disabilities,All Students,261,22,8.4291,22,8.4291,,,,,,,,,11,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,Asian,Female,39,<10,5.1282,<10,5.1282,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,White,Male,21,<10,23.8095,<10,28.5714,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,All Students,Female,1499,637,42.495,654,43.6291,,,,,,,,,434,28.9526,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,Asian,Male,21,<10,9.5238,<10,9.5238,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,White,Female,15,<10,20,<10,26.6667,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,All Students,All Students,2627,993,37.7998,1020,38.8276,,,,,,,,,661,25.1618,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,Asian,Male,21,15,71.4286,15,71.4286,,,,,,,,,11,52.381,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,Asian,Female,39,32,82.0513,33,84.6154,,,,,,,,,25,64.1026,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,English Learners,All Students,218,84,38.5321,95,43.578,,,,,,,,,26,11.9266,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,White,All Students,36,24,66.6667,26,72.2222,,,,,,,,,11,30.5556,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,Asian,Female,39,30,76.9231,31,79.4872,,,,,,,,,21,53.8462,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,African American,All Students,2236,359,16.0555,425,19.0072,,,,,,,,,49,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,Asian,All Students,60,49,81.6667,50,83.3333,,,,,,,,,37,61.6667,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,African American,Male,946,301,31.8182,309,32.6639,,,,,,,,,191,20.1903,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,White,Male,21,<10,33.3333,<10,33.3333,,,,,,,,,<10,19.0476,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,American Indian or Alaska Native,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,White,Female,15,<10,60,<10,60,,,,,,,,,<10,40,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,Hispanic/Latino,All Students,293,55,18.7713,67,22.8669,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,Two or More Races,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,>95%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,Economically Disadvantaged,All Students,1570,521,33.1847,536,34.1401,,,,,,,,,341,21.7198,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,Economically Disadvantaged,All Students,1570,254,16.1783,304,19.3631,,,,,,,,,27,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,African American,Male,946,139,14.6935,172,18.1818,,,,,,,,,19,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,Hispanic/Latino,Female,153,37,24.183,38,24.8366,,,,,,,,,22,14.3791,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,American Indian or Alaska Native,Female,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,African American,Male,946,440,46.5116,481,50.8457,,,,,,,,,213,22.5159,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,African American,Female,1290,560,43.4109,575,44.5736,,,,,,,,,384,29.7674,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,African American,Female,1290,220,17.0543,253,19.6124,,,,,,,,,30,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,Four Year,All Students,Female,40,14,35,14,35,,,,,,,,,<10,22.5,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,Two Year,All Students,Female,40,10,25,10,25,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,Two Year,African American,All Students,54,11,20.3704,11,20.3704,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,Four Year,All Students,All Students,55,15,27.2727,15,27.2727,,,,,,,,,10,18.1818,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,Four Year,African American,All Students,54,15,27.7778,15,27.7778,,,,,,,,,10,18.5185,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,All,All Students,Female,40,24,60,24,60,,,,,,,,,<10,22.5,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,All,Students With Disabilities,All Students,<10,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,Two Year,Economically Disadvantaged,All Students,40,<10,17.5,<10,17.5,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,All,African American,Female,40,24,60,24,60,,,,,,,,,<10,22.5,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,All,All Students,All Students,55,26,47.2727,26,47.2727,,,,,,,,,10,18.1818,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,Two Year,All Students,Male,15,<10,6.6667,<10,6.6667,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,Four Year,African American,Female,40,14,35,14,35,,,,,,,,,<10,22.5,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,Four Year,African American,Male,14,<10,7.1429,<10,7.1429,,,,,,,,,<10,7.1429,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,All,African American,All Students,54,26,48.1482,26,48.1482,,,,,,,,,10,18.5185,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,All,White,All Students,<10,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,Four Year,Economically Disadvantaged,All Students,40,<10,22.5,<10,22.5,,,,,,,,,<10,12.5,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,Two Year,African American,Female,40,10,25,10,25,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,Two Year,African American,Male,14,<10,7.1429,<10,7.1429,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,All,White,Male,<10,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,All,All Students,Male,15,<10,13.3333,<10,13.3333,,,,,,,,,<10,6.6667,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,Four Year,All Students,Male,15,<10,6.6667,<10,6.6667,,,,,,,,,<10,6.6667,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,All,African American,Male,14,<10,14.2857,<10,14.2857,,,,,,,,,<10,7.1429,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,All,Economically Disadvantaged,All Students,40,16,40,16,40,,,,,,,,,<10,12.5,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,18,Medicine and Community Health Academy at Cody,,LEA School,Two Year,All Students,All Students,55,11,20,11,20,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,Four Year,All Students,Female,15,<10,13.3333,<10,13.3333,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,All,African American,Female,15,<10,33.3333,<10,46.6667,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,All,English Learners,All Students,<10,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,Two Year,African American,Male,21,<10,<5%,<10,9.5238,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,Two Year,All Students,Male,23,<10,<5%,<10,8.6957,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,Four Year,African American,All Students,36,<10,19.4444,<10,19.4444,,,,,,,,,<10,5.5556,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,All,Students With Disabilities,All Students,<10,<10,25,<10,25,,,,,,,,,<10,25,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,Four Year,Students With Disabilities,All Students,<10,<10,25,<10,25,,,,,,,,,<10,25,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,All,African American,All Students,36,11,30.5556,14,38.8889,,,,,,,,,<10,5.5556,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,Two Year,All Students,Female,15,<10,20,<10,33.3333,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,All,White,All Students,<10,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,All,Economically Disadvantaged,All Students,30,<10,30,11,36.6667,,,,,,,,,<10,6.6667,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,All,All Students,All Students,38,11,28.9474,14,36.8421,,,,,,,,,<10,5.2632,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,All,African American,Male,21,<10,28.5714,<10,33.3333,,,,,,,,,<10,9.5238,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,All,All Students,Female,15,<10,33.3333,<10,46.6667,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,All,White,Male,<10,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,Four Year,African American,Female,15,<10,13.3333,<10,13.3333,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,Four Year,African American,Male,21,<10,23.8095,<10,23.8095,,,,,,,,,<10,9.5238,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,All,All Students,Male,23,<10,26.087,<10,30.4348,,,,,,,,,<10,8.6957,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,Four Year,All Students,All Students,38,<10,18.4211,<10,18.4211,,,,,,,,,<10,5.2632,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,Four Year,All Students,Male,23,<10,21.7391,<10,21.7391,,,,,,,,,<10,8.6957,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,Four Year,Economically Disadvantaged,All Students,30,<10,23.3333,<10,23.3333,,,,,,,,,<10,6.6667,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,Two Year,All Students,All Students,38,<10,10.5263,<10,18.4211,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,Two Year,Economically Disadvantaged,All Students,30,<10,6.6667,<10,13.3333,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,Two Year,African American,Female,15,<10,20,<10,33.3333,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,22,Detroit Institute of Technology at Cody,,LEA School,Two Year,African American,All Students,36,<10,11.1111,<10,19.4444,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,All,All Students,Male,20,<10,40,<10,40,,,,,,,,,<10,5,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,All,Students With Disabilities,All Students,11,<10,27.2727,<10,36.3636,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,All,White,Male,<10,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,All,All Students,Female,25,10,40,11,44,,,,,,,,,<10,8,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,All,Economically Disadvantaged,All Students,33,11,33.3333,11,33.3333,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,All,English Learners,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,Four Year,Economically Disadvantaged,All Students,33,<10,12.1212,<10,12.1212,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,All,Asian,Female,<10,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
